Attribute	Frequency
jane	36
pour	36
def	36
bitter	36
plants	36
smokey	36
tax	36
timing	36
district	36
bitters	36
tvs	36
employees	36
casserole	36
pours	36
key	36
uber	36
oatmeal	36
valentine	36
won	36
glance	36
dates	36
elote	36
candles	36
damn	36
albeit	36
falafel	36
boystown	36
frog	36
station	35
ass	35
yelpers	35
fork	35
p	35
blown	35
base	35
lady	35
grand	35
strips	35
rush	35
izard	35
masala	35
joe	35
tri	35
graham	35
colors	35
turn	35
pici	35
brick	34
opinion	34
carpaccio	34
oaxaca	34
buds	34
bison	34
south	34
tall	34
rude	34
bunch	34
pleasant	34
nicer	34
passion	34
different	34
ratio	34
chair	34
cider	34
reasons	34
gets	34
brews	34
comes	34
walleye	34
tv	34
meatball	34
questions	34
seeds	34
division	34
stephanie	34
grape	34
servings	34
wish	34
locations	34
sticky	34
prix	34
me	34
teriyaki	34
john	33
boozy	33
manhattan	33
question	33
bucktown	33
vegetarians	33
dinners	33
spices	33
names	33
skewers	33
can	33
collection	33
seem	33
square	33
diners	33
case	33
buns	33
imagine	33
baguette	33
fire	33
amongst	33
tap	33
close	33
escargot	33
form	33
games	33
office	33
realize	33
ladies	33
rack	33
feeling	33
policy	33
pistachios	33
madison	33
anker	33
wok	33
bongo	33
hadn	32
hence	32
success	32
neck	32
read	32
decision	32
track	32
fit	32
factor	32
allergy	32
answer	32
effort	32
lol	32
beginning	32
walnut	32
center	32
dollars	32
coleslaw	32
god	32
cracker	32
seed	32
hop	32
considering	32
yellow	32
profile	32
longer	32
scavenger	32
building	32
hallway	32
pound	32
soap	32
sirloin	32
beignets	32
pretty	31
background	31
comfy	31
rock	31
liquid	31
twists	31
cafe	31
refreshing	31
richness	31
saltiness	31
rhubarb	31
anyway	31
lavender	31
farmhouse	31
notice	31
restrictions	31
watch	31
meeting	31
rate	31
k	31
photo	31
mixture	31
hold	31
cajun	31
dinning	31
congee	31
lugaw	31
lugao	31
companions	31
requests	31
pancetta	31
bib	31
father	31
el	31
brulee	30
chunk	30
return	30
tree	30
pay	30
desk	30
advance	30
sorbet	30
dcor	30
workers	30
dry	30
eating	30
address	30
jalapeos	30
tell	30
decorations	30
appreciate	30
preference	30
hamachi	30
expecting	30
bathrooms	30
rotisserie	30
oreo	30
leftovers	30
papaya	30
tso	30
fennel	29
couches	29
upstairs	29
crme	29
custard	29
v	29
hazelnut	29
standout	29
angel	29
wise	29
pairings	29
sharing	29
cause	29
makes	29
difficult	29
housemade	29
total	29
f	29
bright	29
cuts	29
again	29
candle	29
country	29
alot	29
afterwards	29
crackers	29
getting	29
chipotle	29
pate	29
jus	29
needs	29
flare	29
tortellini	29
bull	29
farro	29
select	29
cloth	29
dozen	29
plantains	29
meatloaf	28
guest	28
saffron	28
mark	28
mine	28
chill	28
peaches	28
dine	28
pear	28
utensils	28
veg	28
content	28
deck	28
tomorrow	28
village	28
difference	28
quiche	28
ins	28
per	28
bus	28
avenue	28
co	28
greasy	28
sticks	28
car	28
topping	28
pace	28
ooey	28
cakes	28
weird	28
smoky	28
allergies	28
month	28
szechuan	28
bleu	28
valet	28
blanc	28
hole	28
espresso	28
tater	28
path	28
ave	28
wooden	28
dad	28
booze	28
sauvignon	28
gazpacho	28
ceilings	28
jeans	28
omelet	28
palak	28
barclay	28
gather	28
keeps	27
hits	27
self	27
walnuts	27
simple	27
tenders	27
live	27
word	27
joint	27
sat	27
tan	27
impress	27
appetite	27
situation	27
omelettes	27
tons	27
reviewers	27
ate	27
celery	27
pita	27
fave	27
sales	27
fee	27
wonder	27
disappointment	27
asian	27
having	27
lentils	27
yesterday	27
mojito	27
farms	26
works	26
smash	26
opportunity	26
classy	26
raw	26
accompanying	26
child	26
execution	26
worry	26
safe	26
gourmet	26
has	26
berry	26
downstairs	26
exterior	26
underneath	26
cons	26
gratin	26
tunes	26
h	26
gon	26
box	26
sections	26
test	26
mild	26
members	26
color	26
always	26
arroz	26
tapioca	26
record	26
boat	26
flakes	26
lists	26
jason	26
anniversary	26
homey	25
stone	25
views	25
average	25
factory	25
apart	25
chilaquiles	25
smile	25
feels	25
near	25
stick	25
beat	25
velvet	25
chi	25
tail	25
fast	25
hopes	25
creations	25
flaky	25
ny	25
forward	25
notes	25
while	25
whole	25
tajarin	25
hatch	25
jen	25
puff	25
complement	25
catch	24
disappoint	24
entre	24
tortillas	24
brand	24
jalapenos	24
multi	24
celebration	24
ideal	24
snack	24
killer	24
every	24
proper	24
flight	24
barbecue	24
blew	24
tavern	24
award	24
indie	24
break	24
cooks	24
whereas	24
library	24
password	24
war	24
touches	24
scoop	24
twenty	24
example	24
lack	24
maitre	24
garlicky	24
sausages	24
weeknight	24
chick	24
bigger	24
croque	24
madame	24
beats	24
santa	24
wasabi	24
tops	24
cucumbers	24
tare	24
cheeks	24
patrick	24
moroccan	24
cannoli	24
meyer	24
yucca	24
raita	24
mojo	24
cajeta	24
albert	24
spirits	23
outer	23
shelf	23
bachelorette	23
treats	23
mimosas	23
rose	23
fruity	23
inch	23
flavorful	23
whenever	23
grandma	23
stuck	23
claim	23
member	23
sent	23
humor	23
ready	23
cobbler	23
crumb	23
son	23
garnish	23
memories	23
brisket	23
complexity	23
highlights	23
mussel	23
okonomiyaki	23
train	23
dome	23
flan	23
frita	23
churrasco	23
almonds	22
sample	22
marys	22
pricy	22
mean	22
block	22
awkward	22
offering	22
rail	22
element	22
forgot	22
doughnuts	22
action	22
butterscotch	22
extra	22
saucy	22
mesh	22
joanna	22
deco	22
future	22
napkins	22
palate	22
drank	22
reviewer	22
beignet	22
welcome	22
carte	22
elbow	22
package	22
mains	22
lovers	22
min	22
schedule	22
combos	22
fritter	22
crudo	22
woman	22
eastern	22
